TICKER;PRECO;DY;P/L;P/VP;EV/EBIT;DIV. LIQ. / PATRI.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; PEG Ratio; VALOR DE MERCADO
CPFE3;36,05;5.87;7.39;2.31;5.51;1.1;1,13;31,32;7,72;19.94;0,25;8.03;36,50;70.434.476,86;0,53;41.354.411.851,60
CSUD3;15,92;6.1;8.51;1.68;6.28;0.03;1,22;19,76;12,75;16.32;0,65;1.99;11,62;783.599,48;0,35;666.710.000,00
CXSE3;10,67;8.12;9.85;2.71;8.4;-0.11;2,68;27,48;25,67;26.24;0,93;;20,03;21.326.518,81;0,16;31.860.000.000,00
EGIE3;44,47;7.48;12.47;3.91;8.46;1.58;1,19;31,37;7,32;19.81;0,23;11.18;7,68;58.817.010,57;0,17;36.104.802.495,00
ENGI4;8,90;4.41;8.93;1.6;7.38;1.93;1,18;17,88;3,28;12.02;0,18;14.21;29,43;155.603,48;-0,56;20.570.305.015,52
ETER3;10,89;6.45;5.61;0.95;4.66;0.05;2,92;16,94;10,04;16.29;0,59;12.27;;2.644.780,88;-0,10;657.920.523,75
KEPL3;9,36;10.91;4.9;2.56;3.39;-0.22;1,72;52,26;26,05;40.09;0,50;25.71;;15.105.085,88;0,10;1.664.208.403,80
LEVE3;45,56;9.7;9.17;3.34;7.21;0.01;2,05;36,43;19,38;28.15;0,53;13.28;21,50;12.750.863,95;0,80;5.741.805.375,00
MTSA4;50,99;5.23;4.59;1.09;3.58;-0.19;3,06;23,65;16,98;19.7;0,72;27.16;48,38;123.439,24;0,08;535.183.359,40
NEOE3;19,63;5.9;5.04;0.85;6.23;1.31;1,16;16,86;5,00;12.64;0,30;15.85;63,34;48.958.054,79;0,35;23.717.598.225,92
POSI3;8,47;6.22;4.15;0.84;3.58;0.66;1,94;20,34;7,17;19.96;0,35;21.15;;15.952.183,48;0,07;1.172.686.000,00
PTBL3;8,58;6.32;11.52;2.52;8.02;1.6;1,13;21,89;3,65;12.97;0,17;16.49;9,37;9.640.474,86;-0,22;1.157.502.334,06
RANI3;10,25;7.43;7.12;2.1;5.89;0.68;2,93;29,47;9,75;13.69;0,33;14.44;;9.105.503,17;2,94;2.498.083.494,66
RECV3;23,30;4.61;7.08;1.65;5.64;-0.07;0,87;23,23;13,78;22.53;0,59;;;49.785.201,86;0,12;6.755.375.692,80
REDE3;5,58;12.59;8.92;3.2;6.47;2.59;1,28;35,89;5,18;17.29;0,14;10.99;64,32;36.604,59;-0,61;11.881.120.595,62
ROMI3;14,48;7.0;5.76;1.16;6.37;0.46;2,10;20,09;10,04;12.06;0,50;18.8;42,41;8.376.674,10;1,72;1.270.671.524,40
RSUL4;62,29;4.74;5.49;2.37;1.09;-0.24;2,28;43,25;20,04;45.41;0,46;26.29;13,12;282.367,21;0,22;153.431.385,25
SLCE3;44,13;6.7;9.39;1.91;5.86;0.52;1,78;20,34;6,64;19.01;0,33;34.0;24,39;72.113.891,00;-0,34;9.968.720.454,84
TGMA3;22,04;6.39;8.16;1.78;6.1;-0.1;2,68;21,86;15,48;17.29;0,71;4.8;11,03;3.076.187,64;0,13;1.423.682.876,55
TKNO4;60,00;6.83;5.04;0.66;3.15;-0.16;2,68;13,06;9,67;14.73;0,74;19.94;;21.649,30;-0,10;192.152.382,63
TRPL4;25,17;4.24;6.68;0.98;6.86;0.41;3,15;14,59;7,31;12.84;0,50;15.07;12,57;39.648.342,43;-0,39;18.552.183.837,84
VALE3;69,23;8.39;3.74;1.62;5.05;0.22;1,12;43,44;18,53;23.96;0,43;15.85;36,13;1.894.571.535,26;-0,14;309.242.586.425,40
WIZC3;6,38;7.1;8.87;2.56;3.06;0.29;1,09;28,86;4,92;21.99;0,17;12.37;-6,64;3.948.516,71;-0,29;997.821.439,68
WLMM3;19,60;4.03;5.82;1.11;4.67;0.02;3,03;18,99;14,13;15.42;0,74;32.16;;10.010,00;0,25;761.351.812,00
