TICKER;PRECO;DY;P/L;P/VP;EV/EBIT;DIV. LIQ. / PATRI.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; PEG Ratio; VALOR DE MERCADO
CEEB3;42,81;4,57;7,12;1,81;7,55;1,97;0,87;25,40;6,09;15,49;0,24;11,42;55,68;65.222,26;-0,57;13.367.150.464,95
CPFE3;35,21;5,88;7,37;2,31;5,5;1,1;1,13;31,32;7,72;19,94;0,25;8,03;36,50;52.217.012,64;0,53;41.216.141.318,80
CSUD3;14,92;6,1;8,51;1,68;6,28;0,03;1,22;19,76;12,75;16,32;0,65;1,99;11,62;1.048.211,80;0,35;666.292.000,00
CXSE3;10,73;7,96;10,06;2,76;8,59;-0,11;2,68;27,48;25,67;26,24;0,93;;20,03;22.776.685,24;0,17;32.550.000.000,00
EGIE3;43,46;7,51;12,43;3,9;8,45;1,58;1,19;31,37;7,32;19,81;0,23;11,18;7,68;50.891.895,16;0,17;36.039.528.275,80
ENGI4;8,53;4,5;8,76;1,57;7,35;1,93;1,18;17,88;3,28;12,02;0,18;14,21;29,43;69.331,64;-0,55;20.399.021.746,16
ETER3;10,51;6,53;5,54;0,94;4,61;0,05;2,92;16,94;10,04;16,29;0,59;12,27;;2.152.289,44;-0,10;649.889.569,00
KEPL3;10,02;10,21;5,24;2,74;3,64;-0,22;1,72;52,26;26,05;40,09;0,50;25,71;;14.919.666,84;0,11;1.781.026.488,30
LEVE3;47,06;9,64;9,23;3,36;7,28;0,01;2,05;36,43;19,38;28,15;0,53;13,28;21,50;10.249.438,68;0,81;5.799.544.200,00
MTSA4;52,91;4,97;4,84;1,14;3,67;-0,19;3,06;23,65;16,98;19,7;0,72;27,16;48,38;98.673,32;0,08;547.129.851,40
NEOE3;19,51;5,93;5,01;0,85;6,23;1,31;1,16;16,86;5,00;12,64;0,30;15,85;63,34;33.105.747,92;0,35;23.669.046.336,00
POSI3;8,69;6,13;4,21;0,86;3,6;0,66;1,94;20,34;7,17;19,96;0,35;21,15;;10.796.243,44;0,07;1.189.702.000,00
PTBL3;8,11;6,36;11,45;2,51;8,0;1,6;1,13;21,89;3,65;12,97;0,17;16,49;9,37;10.965.168,16;-0,22;1.149.043.120,90
RANI3;10,74;7,26;7,28;2,15;5,97;0,68;2,93;29,47;9,75;13,69;0,33;14,44;;9.146.315,36;3,01;2.542.428.172,08
RECV3;23,04;4,7;6,95;1,61;5,52;-0,07;0,87;23,23;13,78;22,53;0,59;;;61.055.412,60;0,11;6.611.706.678,50
REDE3;5,67;12,48;8,99;3,23;6,5;2,59;1,28;35,89;5,18;17,29;0,14;10,99;64,32;35.881,76;-0,61;11.986.636.764,32
ROMI3;14,15;7,02;5,75;1,15;6,36;0,46;2,10;20,09;10,04;12,06;0,50;18,8;42,41;9.852.433,68;1,72;1.268.009.503,05
RSUL4;62,19;4,7;5,52;2,39;1,1;-0,24;2,28;43,25;20,04;45,41;0,46;26,29;13,12;324.783,36;0,23;154.454.427,50
SLCE3;44,90;6,67;9,43;1,92;5,87;0,52;1,78;20,34;6,64;19,01;0,33;34,0;24,39;72.877.280,76;-0,34;10.002.720.183,54
TGMA3;24,27;5,81;8,97;1,96;6,77;-0,1;2,68;21,86;15,48;17,29;0,71;4,8;11,03;3.719.928,40;0,14;1.570.869.377,00
TKNO4;60,00;6,83;5,04;0,66;3,15;-0,16;2,68;13,06;9,67;14,73;0,74;19,94;;16.425,25;-0,10;192.152.382,63
TRPL4;25,55;4,15;6,84;1,0;6,94;0,41;3,15;14,59;7,31;12,84;0,50;15,07;12,57;34.338.470,04;-0,40;18.869.290.162,20
VALE3;67,56;8,48;3,7;1,61;4,99;0,22;1,12;43,44;18,53;23,96;0,43;15,85;36,13;1.803.730.061,48;-0,13;304.703.578.845,40
WIZC3;6,59;6,87;9,16;2,64;3,17;0,29;1,09;28,86;4,92;21,99;0,17;12,37;-6,64;4.643.080,84;-0,30;1.036.199.187,36
WLMM3;19,50;4,05;5,79;1,1;5,21;0,02;3,03;18,99;14,13;15,42;0,74;32,16;;1.950,00;0,24;850.974.560,00
